,Document,Topic,handle,color,date,tweet,topic_name,member,party
47,POTUS nominate Judge Ketanji Brown Jackson Supreme Court make phenomenal choice 'm thrill talented jurist receive bipartisan support become Supreme Court justice America fairer place bench,2,RepAdamSchiff,blue,2022-04-07,"When @POTUS nominated Judge Ketanji Brown Jackson to the Supreme Court, he made a phenomenal choice.

And I'm thrilled such a talented jurist has received bipartisan support to become a Supreme Court justice.

America will be a fairer, more just place with her on the bench.",Judge Brown Jackson,Adam Schiff,Democrat
49,even unfortunately test positive COVID-19 'm feel fine grateful vaccinate boost come days quarantine follow CDC guidelines remember please get vaccinate,10,RepAdamSchiff,blue,2022-04-06,"This evening, I unfortunately tested positive for COVID-19.

I'm feeling fine, and grateful to be vaccinated and boosted. In the coming days, I will quarantine and follow CDC guidelines.

And remember, please get vaccinated!",COVID-19 Vaccine,Adam Schiff,Democrat
50,"'m glad POTUS extend pause student loan repayments help many think need go 've get ease burden merely delay Let start cancel 50,000 debt per borrower let Mr. President",1,RepAdamSchiff,blue,2022-04-05,"I'm glad @POTUS will extend the pause on student loan repayments. It will help so many.

But I think he needs to go further. We've got to ease the burden, not merely delay it.

Let's start by canceling up to $50,000 in debt per borrower.

And let's do it now, Mr. President.",Student Debt,Adam Schiff,Democrat
52,pass Act would eliminate criminal penalties cannabis offenses expunge past federal cannabis convictions address detrimental impact decades misguide drug policy time take stand equity justice system,5,RepAdamSchiff,blue,2022-04-01,"We just passed the MORE Act. It would eliminate criminal penalties for cannabis offenses.

And expunge past federal cannabis convictions – addressing the detrimental impacts of decades of misguided drug policy.

It's time we took a stand for equity in our justice system.",Cannabis,Adam Schiff,Democrat
53,One month ago Putin launch unprovoked war Ukraine Since Ukrainian people hold Russian force cost many live lose U.S. deliver billions aid world shun Putin Time Russia get hell Ukraine,4,RepAdamSchiff,blue,2022-03-24,"One month ago, Putin launched an unprovoked war on Ukraine. Since then:

The Ukrainian people have held off Russian forces, at the cost of many lives lost.

The U.S. has delivered billions in aid.

And the world has shunned Putin.

Time for Russia to get the hell out of Ukraine.",Russo-Ukrainian War,Adam Schiff,Democrat
54,Judge Ketanji Brown Jackson demonstrate great intellect mastery law unfazed despite outrageous offensive Republican attack prove worthy serve highest court land,2,RepAdamSchiff,blue,2022-03-23,"Judge Ketanji Brown Jackson has demonstrated great intellect and a mastery of the law.
 
She was unfazed despite outrageous and offensive Republican attacks.
 
And she has proven herself worthy of serving on the highest court in the land.",Judge Brown Jackson,Adam Schiff,Democrat
55,"near end pause student loan repayment must take action President sign pen extend pause yes also cancel least 50,000 debt per student time act Mr. President",1,RepAdamSchiff,blue,2022-03-18,"As we near the end of the pause on student loan repayment, we must take action.

And the President can do it with the signing of a pen.

To extend the pause, yes. But also to cancel at least $50,000 in debt per student.

It's time to act, Mr. President.",Student Debt,Adam Schiff,Democrat
56,face Russian terror Ukrainian people show immense courage image devastation President Zelenskyy show Congress today underscore Putin depravity remind us Ukraine rely support let,4,RepAdamSchiff,blue,2022-03-16,"In the face of Russian terror, the Ukrainian people have shown immense courage.

The images of devastation President Zelenskyy showed to Congress today underscore Putin's depravity.

And remind us all Ukraine is relying on our support.

We can’t let them down.",Russo-Ukrainian War,Adam Schiff,Democrat
57,Tonight backdrop Putin invasion Ukraine President Biden send unequivocal message America stand Ukraine democracies around world bend break face authoritarian bully simply much stake,4,RepAdamSchiff,blue,2022-03-02,"Tonight, against the backdrop of Putin's invasion of Ukraine, President Biden sent an unequivocal message:

America stands with Ukraine – and with democracies around the world.

We will not bend nor break in the face of an authoritarian bully.

There is simply too much at stake.",Russo-Ukrainian War,Adam Schiff,Democrat
58,Like awe courage Ukrainian people fight protect homeland likewise inspire brave Russian protestors risk imprisonment dissent speak war courage underscore depths Putin cowardice,4,RepAdamSchiff,blue,2022-02-28,"Like all of you, I am in awe of the courage of the Ukrainian people, fighting to protect their homeland.

And likewise inspired by the brave Russian protestors risking imprisonment to dissent and speak out against war.

Their courage underscores the depths of Putin's cowardice.",Russo-Ukrainian War,Adam Schiff,Democrat
59,Judge Ketanji Brown Jackson brilliant fair jurist Someone dedicate life public service make nation outstanding historic choice Court deserve strong bipartisan confirmation,2,RepAdamSchiff,blue,2022-02-25,"Judge Ketanji Brown Jackson is a brilliant and fair jurist.

Someone who has dedicated her life to public service and making our nation more just.

She is an outstanding and historic choice for the Court, and deserves a strong and bipartisan confirmation.",Judge Brown Jackson,Adam Schiff,Democrat
60,Biden admin deliver serious consequences Russia follow invasion Ukraine must prepare go indications Putin wo n't stop without punitive measure must meet challenge head-on stand Ukraine,4,RepAdamSchiff,blue,2022-02-22,"The Biden admin has delivered serious consequences for Russia following its invasion of Ukraine.

But we must be prepared to go further. Because all indications are that Putin won't stop without more punitive measures.

We must meet this challenge head-on and stand with Ukraine.",Russo-Ukrainian War,Adam Schiff,Democrat
61,past days indicate worst fear Russia intentions toward Ukraine may come true still time Putin choose diplomacy must make mistake stand unite NATO ally response whatever come next,4,RepAdamSchiff,blue,2022-02-18,"The past few days indicate our worst fears about Russia’s intentions toward Ukraine may be coming true.

There is still time for Putin to choose diplomacy. He must.

But make no mistake – we will stand united with our NATO allies in response to whatever comes next.",Russo-Ukrainian War,Adam Schiff,Democrat
63,Supreme Court rule Roe v. Wade protect right choose 49 years ago think Today right choose threaten like never wo n't sit idly Republicans attempt reverse reproductive freedoms,0,RepAdamSchiff,blue,2022-01-22,"The Supreme Court’s ruling in Roe v. Wade protected the right to choose 49 years ago.

Or so we thought.

Today, the right to choose is threatened like never before.

But we won't - and can’t - sit idly by as Republicans attempt to reverse reproductive freedoms.",Abortion,Adam Schiff,Democrat
66,"Millions young people soon begin make student loan payments Payments afford need continue freeze repayments pandemic Better yet cancel 50,000 debt every student",1,RepAdamSchiff,blue,2021-12-15,"Millions of young people will soon have to begin making student loan payments again.

Payments they cannot afford.

We need to continue the freeze on repayments until the pandemic is over. 

Better yet, we should cancel $50,000 in debt for every student.",Student Debt,Adam Schiff,Democrat
71,Veterans service members best us selfless commitment defend country deserve nothing less utmost respect gratitude Veterans Day let join together thank brave individuals service sacrifice,9,RepAdamSchiff,blue,2021-11-11,"Veterans and service members are the best of us.
 
Their selfless commitment to defending our country deserves nothing less than our utmost respect and gratitude.
 
So on this Veterans Day, let's all join together to thank these brave individuals for their service and sacrifice.",MemorialDay,Adam Schiff,Democrat
72,Democrats work years lower nation unconscionably high prescription drug price Pharma fight us every step way long last precipice deliver real relief truly Build Back Better,0,RepAdamSchiff,blue,2021-11-02,"Democrats have been working for years to lower our nation’s unconscionably high prescription drug prices.

Pharma has fought us every step of the way.

And now, we are — at long last — on the precipice of delivering real relief.

This is how you truly Build Back Better.",Abortion,Adam Schiff,Democrat
78,Republicans across nation work tirelessly rob women right choose ban abortion draconian plain wrong let stand vote YES Women Health Protection Act,0,RepAdamSchiff,blue,2021-09-24,"Republicans across the nation are working tirelessly to rob women of their right to choose.
 
These bans on abortion are draconian – and just plain wrong.
 
We cannot let them stand.
 
That's why I just voted YES on the Women’s Health Protection Act.",Abortion,Adam Schiff,Democrat
85,"10 years student loan rent get much worse Pausing student loan payments help thousands students must ease burden cancel 50,000 student debt crush whole new generation",1,RepAdamSchiff,blue,2021-08-06,"For 10 years, my student loans were more than my rent.

And it’s gotten so much worse.

Pausing student loan payments will help thousands of students.

But we must do more to ease the burden — and cancel up to $50,000 in student debt — before it crushes a whole new generation.",Student Debt,Adam Schiff,Democrat
90,serve country uniform represent best us MemorialDay pause honor brave men women arm force 've sacrifice much service nation extraordinary courage selflessness salute,9,RepAdamSchiff,blue,2021-05-31,"Those who serve our country in uniform represent the best of us.
 
On this #MemorialDay, we pause to honor the brave men and women of our armed forces, who've sacrificed so much in the service of our nation.
 
For your extraordinary courage and selflessness, we salute you.",MemorialDay,Adam Schiff,Democrat
97,"POTUS cancel 50,000 student loan debt 10 years student loan debt payments rent Student debt affect everybody particularly people color make hard buy home start family economy work",1,RepAdamSchiff,blue,2021-02-18,".@POTUS should cancel $50,000 in student loan debt for all.

For 10 years, my student loan debt payments were more than my rent.

Student debt affects everybody, and particularly people of color, making it hard to buy a home or start a family.

Our economy should work for all. https://t.co/MQOHQgARWk",Student Debt,Adam Schiff,Democrat
101,Every single House Republican say Lowering prescription drug cost Providing COVID relief Expanding child tax credit Capping insulin 35 month Cutting inflation Stopping gas price-gouging Republicans trust govern must VOTE,0,AdamSchiff,blue,2022-10-22,"Every single House Republican said NO to:

Lowering prescription drug costs
Providing COVID relief
Expanding child tax credit
Capping insulin at $35 a month
Cutting inflation
Stopping gas price-gouging

Republicans can’t be trusted to govern. 

That’s why we all must VOTE.",Abortion,Adam Schiff,Democrat
104,nationwide abortion ban Put forward GOP leaders Senate House Enabled reactionary partisan Supreme Court never become law long Democrats control Congress right ballot midterms Vote,0,AdamSchiff,blue,2022-09-23,"A nationwide abortion ban.

Put forward by GOP leaders in the Senate and House. 

Enabled by a reactionary and partisan Supreme Court.

Will never become law, as long as Democrats control Congress.

Your rights are on the ballot in these midterms.

Vote.",Abortion,Adam Schiff,Democrat
105,Republicans want national abortion ban Gutting right privacy reproductive freedoms health care moment pass law make sure never inflict backward dangerous policies country,0,AdamSchiff,blue,2022-09-14,"Republicans want a national abortion ban.

Gutting the right to privacy, reproductive freedoms, and health care.

At the moment, they cannot pass it into law. 

And I’m doing all I can to make sure they can never inflict such backward and dangerous policies on the country.",Abortion,Adam Schiff,Democrat
106,"JoeBiden cancel student loan debt president history achievement proud future hope go even stroke pen cancel least 50,000 debt every student Let go Mr. President",1,AdamSchiff,blue,2022-08-24,".@JoeBiden has canceled more student loan debt than any president in history.

That’s an achievement to be proud of.

In the future, I hope he’ll go even further. With the stroke of the pen he can cancel at least $50,000 in debt for every student.

Let’s go all in, Mr. President.",Student Debt,Adam Schiff,Democrat
108,Republicans take majority pass nationwide abortion ban stand matter circumstances may want choice party would criminalize health care ca n't allow govern,0,AdamSchiff,blue,2022-08-15,"If Republicans take the majority, they will pass a nationwide abortion ban.

That’s where they stand — no matter where you are, or what the circumstances may be — they don’t want you to have a choice. 

A party that would criminalize health care can't be allowed to govern.",Abortion,Adam Schiff,Democrat
112,Senate Republicans spend weekend fight tooth-and-nail block amendment cap insulin price 35 Republicans care health care cost simple,0,AdamSchiff,blue,2022-08-09,"Senate Republicans spent the weekend fighting tooth-and-nail to block an amendment to cap insulin prices at $35.

Why?

Because Republicans don’t care about you, or your health care costs. It’s just that simple.",Abortion,Adam Schiff,Democrat
113,Senate Democrats pass historic bill Lower health care prescription drug cost Fight inflation reduce deficit Make biggest investment climate EVER Next House Democrats go get POTUS desk,0,AdamSchiff,blue,2022-08-08,"Senate Democrats have passed a historic bill to:

- Lower health care and prescription drug costs.
- Fight inflation and reduce the deficit.
- Make the biggest investment in our climate. EVER.

Next: House Democrats are going to get it to @POTUS’ desk.",Abortion,Adam Schiff,Democrat
114,Almost every single Republican House vote access contraception right contraception stake November clear Today Republican Party extreme reactionary must allow govern,0,AdamSchiff,blue,2022-07-21,"Almost every single Republican in the House voted against access to contraception.

That’s right. Against contraception. The stakes in November are clear:

Today’s Republican Party is extreme and reactionary. They must not be allowed to govern.",Abortion,Adam Schiff,Democrat
116,Let clear Republicans win House Senate White House two years pass national abortion ban say matter live women doctor threat core right let happen,0,AdamSchiff,blue,2022-06-25,"Let’s be clear:

If Republicans win the House, Senate and White House in two years, they’ll pass a national abortion ban. They’ve said so.

No matter where you live, women and doctors will be under threat. As will our core rights.

We can’t let that happen. And we won’t.",Abortion,Adam Schiff,Democrat
117,Sickened Court decision overturn Roe Republicans appoint partisan justices exactly roll back clock women right force extreme social agenda country want must act lose one right another,0,AdamSchiff,blue,2022-06-24,"Sickened by the Court’s decision to overturn Roe.

Republicans appointed partisan justices to do exactly this.

To roll back the clock on women’s rights — and force an extreme social agenda on a country that doesn’t want it.

We must act or we will lose one right after another.",Abortion,Adam Schiff,Democrat
122,Judge Ketanji Brown Jackson nominate Supreme Court Justice a… Supreme Court clerk Public defender Sentencing Commission member District judge Court Appeals judge extremely well qualify,2,AdamSchiff,blue,2022-03-22,"Before Judge Ketanji Brown Jackson was nominated to the Supreme Court, no Justice has been a…

- Supreme Court clerk
- Public defender
- Sentencing Commission member
- District judge 
- AND Court of Appeals judge

How’s that for extremely well qualified?",Judge Brown Jackson,Adam Schiff,Democrat
150,"Student debt stop many people start live Getting ahead Living comfortably government help cancel 50,000 federally hold student debt per borrower want move America forward students drag endless debt",1,AdamSchiff,blue,2021-06-09,"Student debt is stopping too many people from starting their lives. Getting ahead. Living comfortably.

The government can help by canceling $50,000 in federally held student debt per borrower.

If we want to move America forward, students can’t be dragged down by endless debt.",Student Debt,Adam Schiff,Democrat
159,"Get health care coverage 2023 year Inflation Reduction Act Americans continue get help premiums save average 800 per year 2,400 per family Sign December 15th",0,RepAOC,blue,2022-11-22,"Get health care coverage for 2023!

This year, because of the Inflation Reduction Act, Americans can continue to get more help with their premiums and save an average of $800 per year and $2,400 per family.

Sign up now through December 15th:
https://t.co/PaDymPxGMd",Abortion,Alexandria Ocasio-Cortez,Democrat
160,NYCVotes Polls OPEN NYC voters🎉Vote early Congress Governor judge ballot proposals 📍Check pol…,3,RepAOC,blue,2022-10-31,"RT @NYCVotes: Polls are now OPEN for all NYC voters🎉Vote early for Congress, Governor, judges, ballot proposals, and more.

📍Check your pol…",Voting,Alexandria Ocasio-Cortez,Democrat
165,Doctors mean prioritize patient care due nonsensical abortion laws write Republicans talk lawyers instead sometimes even deny critical care patients result Watch Rep. AOC break detrimental effect abortion ban,0,RepAOC,blue,2022-09-29,"Doctors are meant to prioritize patient care. But now, due to nonsensical abortion laws written by Republicans, they’re talking to lawyers instead — sometimes even denying critical care to patients as a result.

Watch Rep. AOC break down the detrimental effects of abortion bans: https://t.co/kBZp230SPU",Abortion,Alexandria Ocasio-Cortez,Democrat
167,NYC Vote TODAY primary election U.S. House Representatives New York State Senate Polls open 9 pm Find poll location,3,RepAOC,blue,2022-08-23,"NYC! Vote TODAY in the primary election for the U.S. House of Representatives and New York State Senate!

Polls are open until 9 pm. Find your polling location here: https://t.co/NLgrcIXBWS",Voting,Alexandria Ocasio-Cortez,Democrat
168,NYC voters vote early in-person ahead Tuesday primary election MUST vote assign early vote site might different Election Day poll site typically use Double check early vote site,3,RepAOC,blue,2022-08-19,"NYC voters: vote early in-person ahead of Tuesday’s primary election!

You MUST vote at your assigned early voting site — which might be different from the Election Day poll site you’re typically used to! Double check your early voting site here: https://t.co/NLgrcIY9Mq",Voting,Alexandria Ocasio-Cortez,Democrat
172,Memorial Day remember honor give live service country forever grateful bravery courage sacrifice,9,RepAOC,blue,2022-05-30,"On Memorial Day, we remember and honor those who gave their lives in service to our country. We’re forever grateful for their bravery, courage, and sacrifice.",MemorialDay,Alexandria Ocasio-Cortez,Democrat
181,Russia invasion Ukraine indefensible U.S. right impose target sanction Putin oligarchs also must work ally prepare refugee crisis massive scale Finally military action must take place Congressional approval,4,RepAOC,blue,2022-02-23,"Russia's invasion of Ukraine is indefensible.  The U.S. is right to impose targeted sanctions on Putin &amp; his oligarchs. We also must work with our allies to prepare for a refugee crisis on a massive scale. Finally, any military action must take place with Congressional approval.",Russo-Ukrainian War,Alexandria Ocasio-Cortez,Democrat
188,VeteransDay extend gratitude veterans also recommit ensure veterans families resources need long hang uniform,9,RepAOC,blue,2021-11-11,"This #VeteransDay, we extend gratitude to all our veterans. We also recommit ourselves to ensuring veterans and their families have the resources they need long after they hang up the uniform. https://t.co/eZ7cnAZtym",MemorialDay,Alexandria Ocasio-Cortez,Democrat
211,RepAOC President Biden send important signal pardon citizens federal charge simple marijuana possession th…,5,AOC,blue,2022-11-16,RT @RepAOC: President Biden sent an important signal when he pardoned citizens with federal charges for simple marijuana possession. But th…,Cannabis,Alexandria Ocasio-Cortez,Democrat
213,🗳️ NEW YORK Polls still open another 2 HOURS 🚨 still chance cast ballot Head help poll place,3,AOC,blue,2022-11-09,"🗳️ NEW YORK: Polls are still open for another 2 HOURS 🚨

You still have a chance to cast your ballot! Head over to https://t.co/6velSpPDkj for help with your polling place.

https://t.co/iDqd5usWAV",Voting,Alexandria Ocasio-Cortez,Democrat
214,Deco election endorsements 🗳️ NY Make sure cast early vote TODAY TOMORROW last opportunity vote Tuesday November 8th Find poll station,3,AOC,blue,2022-11-05,"Deco’s election endorsements are in! 🗳️ 

NY: Make sure you cast your early vote TODAY &amp; TOMORROW! After that, your last opportunity to vote will be this Tuesday, November 8th.

Find your polling station at https://t.co/TskRLfiaiB https://t.co/eNgvZMwJIV",Voting,Alexandria Ocasio-Cortez,Democrat
223,AyannaPressley Abolish filibuster pass WHPA Declare public health emergency Establish state abortion havens Expand Cour…,0,AOC,blue,2022-06-25,"RT @AyannaPressley: Abolish the filibuster &amp; pass WHPA.
Declare a public health emergency.
Establish state abortion havens.
Expand the Cour…",Abortion,Alexandria Ocasio-Cortez,Democrat
228,AP Tearfully embrace history-making moment nation Judge Ketanji Brown Jackson say confirmation first Black wo…,2,AOC,blue,2022-04-08,"RT @AP: Tearfully embracing a history-making moment for the nation, Judge Ketanji Brown Jackson said her confirmation as the first Black wo…",Judge Brown Jackson,Alexandria Ocasio-Cortez,Democrat
229,Supreme Court Justice Ketanji Brown Jackson 💐,2,AOC,blue,2022-04-07,Supreme Court Justice Ketanji Brown Jackson. 💐,Judge Brown Jackson,Alexandria Ocasio-Cortez,Democrat
239,express enough appreciation respect veterans families across America forever debt,9,RepAndyBiggsAZ,red,2022-11-11,"I cannot express enough my appreciation and respect for veterans and their families across America. 

We will forever be in their debt. https://t.co/km6Gpsl9hV",MemorialDay,Andy Biggs ,Republican
241,Happy birthday USMC 247 years U.S. Marines sacrifice live defend freedoms American heroes thank,12,RepAndyBiggsAZ,red,2022-11-10,"Happy birthday to @USMC.

For 247 years, our U.S. Marines have sacrificed their lives to defend our freedoms. They are American heroes. 

We thank you.",Congratulations,Andy Biggs ,Republican
242,Even Democrats know Inflation Reduction Act n't actually reduce inflation mock Americans behind close doors,0,RepAndyBiggsAZ,red,2022-11-08,"Even Democrats know the Inflation Reduction Act doesn't actually reduce inflation.

They mock Americans behind closed doors. 

https://t.co/00yKf8gxRl",Abortion,Andy Biggs ,Republican
257,Democrats Inflation Reduction Act reduce inflation enhance,0,RepAndyBiggsAZ,red,2022-09-14,"The Democrats' Inflation Reduction Act does not reduce inflation. 

It enhances it.",Abortion,Andy Biggs ,Republican
264,Today recognize honor 13 brave servicemembers tragically lose live year ago Biden botch Afghanistan withdrawal individuals heroes volunteer serve country prayers families love ones today,9,RepAndyBiggsAZ,red,2022-08-26,"Today, we recognize and honor the 13 brave servicemembers who tragically lost their lives a year ago during Biden's botched Afghanistan withdrawal. 

These individuals were heroes who volunteered to serve their country.

My prayers are with their families and loved ones today.",MemorialDay,Andy Biggs ,Republican
269,face historic inflation Democrats excessive spend Democrats solution reduce inflation Spend hundreds billions dollars via Inflation Reduction Act,0,RepAndyBiggsAZ,red,2022-08-16,"We are facing historic inflation because of the Democrats' excessive spending.

The Democrats' solution to reduce inflation? 

Spend hundreds of billions of dollars more via the Inflation Reduction Act. https://t.co/eKDJpxBnDb",Abortion,Andy Biggs ,Republican
272,vote Democrats Inflation Enhancement Reduction Act today,0,RepAndyBiggsAZ,red,2022-08-12,"I voted against the Democrats' Inflation (Enhancement) Reduction Act today. 

Here's why: https://t.co/LzbG7yfKmM",Abortion,Andy Biggs ,Republican
277,Democrats Inflation Reduction Act reduce inflation—it enhance,0,RepAndyBiggsAZ,red,2022-08-08,Democrats' Inflation Reduction Act does not reduce inflation—it enhances it.,Abortion,Andy Biggs ,Republican
278,Inflation Reduction Act hurt Americans much Democrats hold vote tonight hop one pay attention Democrats put America LAST,0,RepAndyBiggsAZ,red,2022-08-07,"The Inflation Reduction Act hurts Americans so much that Democrats are holding a vote tonight hoping that no one is paying attention.

Democrats are putting America LAST.",Abortion,Andy Biggs ,Republican
293,Abortion healthcare,0,RepAndyBiggsAZ,red,2022-07-13,Abortion is not healthcare.,Abortion,Andy Biggs ,Republican
303,President Biden Student Loan Debt Relief application open take less five minutes apply MAJOR first step Next step Make education fundamental right privilege wealthy Apply today,1,SenSanders,white,2022-10-18,"President Biden’s Student Loan Debt Relief application is now open, and it takes less than five minutes to apply. This is a MAJOR first step. Next step: Make education a fundamental right for all, not a privilege for the wealthy few.

Apply today: https://t.co/JSZlStaPDE",Student Debt,Bernie Sanders,Independent
304,long believe marijuana legalize arrest possession pardon record expunge President executive action today important step forward much need do,5,SenSanders,white,2022-10-06,"I have long believed that marijuana should be legalized and those arrested for possession should be pardoned and have their records expunged. The President’s executive action today is an important step forward, but much more needs to be done.",Cannabis,Bernie Sanders,Independent
310,stand solidarity thousands Russians go streets yesterday oppose Putin barbaric war Ukraine authoritarian society act great courage deserve support,4,SenSanders,white,2022-09-22,"I stand in solidarity with the thousands of Russians who went into the streets yesterday to oppose Putin’s barbaric war in Ukraine. In an authoritarian society, that is an act of great courage. They deserve our support.",Russo-Ukrainian War,Bernie Sanders,Independent
312,"Today pause remember nearly 3,000 live lose September 11 2001 honor brave first responders risk live day help fellow Americans day never forget",9,SenSanders,white,2022-09-11,"Today, we pause to remember the nearly 3,000 lives lost on September 11, 2001 and honor the brave first responders who risked their lives that day to help their fellow Americans. It’s a day I will never forget.",MemorialDay,Bernie Sanders,Independent
313,statement President Biden student debt announcement,1,SenSanders,white,2022-08-24,My statement on President Biden’s student debt announcement. https://t.co/PE6xUI3MtS,Student Debt,Bernie Sanders,Independent
318,President Biden absolutely right Senate Democrats must end filibuster codify right abortion allow break rule Senate stand way guarantee basic right people really stand right,0,SenSanders,white,2022-06-30,"President Biden is absolutely right. Senate Democrats must end the filibuster and codify the right to an abortion NOW. If you allow the broken rules of the Senate to stand in the way of guaranteeing basic rights for our people, you don’t really stand for those rights.",Abortion,Bernie Sanders,Independent
